dataset	method	knob	bpv	compressed_bytes	psnr_raw	psnr_heldout	renderable
cells3d_nuclei	h265	40	0.055	27055	34.55	34.27	False
cells3d_nuclei	h265	35	0.1614	79333	35.79	34.85	False
cells3d_nuclei	h265	30	0.6561	322486	37.86	34.86	False
cells3d_nuclei	h265	25	1.5538	763747	41.55	35.11	False
cells3d_nuclei	h265	20	2.527	1242074	44.89	35.37	False
cells3d_nuclei	h265	15	3.4344	1688058	46.87	35.47	False
cells3d_nuclei	h265	10	4.2686	2098088	47.72	35.49	False
cells3d_nuclei	h265	5	4.7762	2347603	47.97	35.49	False
cells3d_nuclei	h265	0	9.6351	4735841	48.5	35.49	False
cells3d_nuclei	gsplats	1000	0.0781	38400	31.24	31.2	True
cells3d_nuclei	gsplats	2000	0.1647	80960	32.68	32.6	True
cells3d_nuclei	gsplats	4000	0.3235	159000	33.67	33.57	True
cells3d_nuclei	gsplats	8000	0.6615	325160	34.47	34.25	True
cells3d_nuclei	gsplats	16000	1.2965	637280	35.0	34.62	True
cells3d_nuclei	gsplats	32000	2.5941	1275040	35.38	34.73	True
cells3d_nuclei	gsplats	64000	5.1898	2550880	35.83	34.73	True
cells3d_nuclei	gsplats	128000	10.3835	5103680	36.16	34.59	True
cells3d_nuclei	gsplats	256000	20.766	10206920	37.3	34.42	True
cells3d_nuclei	gsplats	512000	41.5093	20402640	38.77	34.44	True
cells3d_nuclei	noise_floor	ref	0.0	0	37.5711	37.5711	False
